DATAFLOW,LAST UPDATE,freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,DE,1991,103.68,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,DE,1992,100.67,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,DE,1993,101.19,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,DE,1994,99.36,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,DE,1995,100.87,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,DE,1996,105.19,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,DE,1997,103.37,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,DE,1998,102.81,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,DE,1999,100.99,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,DE,2000,100.21,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,DE,2001,101.87,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,DE,2002,100.23,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,DE,2003,102.17,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,DE,2004,101.45,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,DE,2005,100.00,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,DE,2006,102.57,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,DE,2007,96.93,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,DE,2008,100.92,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,DE,2009,94.79,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,DE,2010,101.51,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,DE,2011,96.37,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,DE,2012,98.22,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,DE,2013,100.60,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,DE,2014,95.58,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,DE,2015,96.84,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,DE,2016,98.71,
